nr,type,value,idvisit
2,url,https://hans.th-nuernberg.de/video-player?uuid=61796133-8227-438b-a620-d5e29e5fbca9&evalId=none&role=everybody,2756
2,url,https://hans.th-nuernberg.de/?evalId=none&role=everybody,2758
2,url,https://hans.th-nuernberg.de/video-player?uuid=cbd1dde2-47d7-425e-964c-997ef2aa0960&evalId=none&role=everybody,2759
2,url,NA,2760
2,url,https://hans.th-nuernberg.de/search-results?evalId=none&role=everybody,2761
2,url,https://hans.th-nuernberg.de/video-player?uuid=52fdc278-060e-4477-986c-9eb4abda2472&evalId=none&role=everybody,2762
2,url,NA,2763
2,url,NA,2764
2,url,https://hans.th-nuernberg.de/video-player?uuid=52fdc278-060e-4477-986c-9eb4abda2472&evalId=none&role=everybody,2765
2,url,NA,2766
2,url,NA,2767
2,url,https://hans.th-nuernberg.de/video-player?uuid=b78e63d6-6a71-4a9c-a59e-45ea8ce55f13&evalId=none&role=everybody,2768
2,url,NA,2769
2,url,https://hans.th-nuernberg.de/video-player?uuid=6b1790e8-cf01-499e-baa8-b8f6f21e4cb2&evalId=none&role=everybody,2770
2,url,https://hans.th-nuernberg.de/video-player?uuid=15badf9c-4df5-4a22-b1a4-cfbd7aed7568&evalId=none&role=everybody,2771
2,url,https://hans.th-nuernberg.de/video-player?uuid=d55eb925-030c-4e3c-96aa-14f09ee35cba&evalId=none&role=everybody,2772
2,url,NA,2773
2,url,https://hans.th-nuernberg.de/video-player?uuid=b78e63d6-6a71-4a9c-a59e-45ea8ce55f13&evalId=none&role=everybody,2774
2,url,NA,2775
2,url,NA,2776
2,url,https://hans.th-nuernberg.de/video-player?uuid=1af4fee4-7999-4579-8eb0-33210b13ce4e&evalId=none&role=everybody,2777
2,url,https://hans.th-nuernberg.de/video-player?uuid=d55eb925-030c-4e3c-96aa-14f09ee35cba&evalId=none&role=everybody,2778
2,url,https://hans.th-nuernberg.de/video-player?uuid=afc55220-dca0-48de-b386-065647811d38&evalId=none&role=everybody,2779
2,url,https://hans.th-nuernberg.de/video-player?uuid=1af4fee4-7999-4579-8eb0-33210b13ce4e&evalId=none&role=everybody,2780
2,url,NA,2781
2,url,https://hans.th-nuernberg.de/video-player?uuid=3d1aecc2-6642-41c5-b17b-75d06526ee61&evalId=none&role=everybody,2782
